State,ExpensiveProcedure,MaxCost,CheapestProcedure,MinCost
"AL	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.008185024571792817	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0003368083400160385"
"AK	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.053654875224762574	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.002207862578751142"
"AZ	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.00574315715421181	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0002363271130825236"
"AR	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.013320925840157847	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0005481472755942613"
"CA	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.0010141710257093647	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	4.173246600122492e-05"
"CO	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.007184533290497596	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.00029563878643707435"
"CT	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.011130089261648136	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0004579958014255469"
"DE	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.04181041210421558	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0017204707661766792"
"DC	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.05843802574981283	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.0024046860548761688"
"FL	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.001931175151082315	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	7.946657840927995e-05"
"GA	","	329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC	","	0.0038607951159080507	","	310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC	","	0.00015886916193413408"
